displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly
betboom_ru,https://www.twitch.tv/betboom_ru,164791710,5670,85200,29063,,1,474232,14215,0,0,True,False,False,Russian,0,Partner,9664590,855,28845,11303,1790,0,,6829262,betboom_ru,False
BLASTPremier,https://www.twitch.tv/blastpremier,143408085,2325,129064,61680,,2,2086580,18260,0,0,True,False,False,English,0,Partner,136396470,3090,108503,44141,22049,0,,12560979,blastpremier,False
加藤純一うん〇ちゃん (kato_junichi0817),https://www.twitch.tv/kato_junichi0817,125322300,5010,64545,25014,,3,1057826,2015,0,0,True,False,False,Japanese,0,Partner,140936160,5640,58625,24988,2814,0,,30004033,kato_junichi0817,False
zackrawrr,https://www.twitch.tv/zackrawrr,122169285,2775,57533,44024,,4,2049815,3404,0,0,True,False,False,English,0,Partner,142005360,3165,71606,44867,3703,0,,30500360,zackrawrr,False
Caedrel,https://www.twitch.tv/caedrel,109139085,2205,287937,49496,,5,1210994,12742,0,0,True,False,False,English,0,Partner,203782980,2805,217635,72649,21833,0,,2053059,caedrel,False
PontiacMadeDDG,https://www.twitch.tv/pontiacmadeddg,106122795,7395,34902,14350,,6,642881,76068,0,0,True,False,False,English,0,Partner,23486925,2910,21628,8071,25910,0,,7653634,pontiacmadeddg,False
HasanAbi,https://www.twitch.tv/hasanabi,98482005,3210,41345,30679,,7,2820302,4287,0,0,True,False,False,English,0,Partner,89890950,2865,53154,31375,2233,0,,14441748,hasanabi,False
Papaplatte,https://www.twitch.tv/papaplatte,88999785,2385,71114,37316,,8,2804146,4093,0,0,True,False,False,German,0,Partner,39675105,1185,55957,33481,9029,0,,101547,papaplatte,False
caseoh_,https://www.twitch.tv/caseoh_,88737975,1545,76912,57435,,9,6840321,26306,0,0,True,False,False,English,0,Partner,80142495,1545,75585,51872,31411,0,,18933073,caseoh_,False
ohnePixel,https://www.twitch.tv/ohnepixel,87772680,2790,68596,31459,,10,1701281,14718,0,0,True,False,False,English,0,Partner,70911225,2730,52127,25974,16164,0,,27167095,ohnepixel,False
Recrent,https://www.twitch.tv/recrent,83194680,2550,108941,32625,,11,1638853,40583,0,0,True,False,False,Russian,0,Partner,57420000,3930,34584,14610,13197,0,,757419,recrent,False
Jynxzi,https://www.twitch.tv/jynxzi,81249255,3255,34285,24961,,12,7129788,18737,0,0,True,False,False,English,0,Partner,107991555,3765,42809,28683,30206,0,,21104643,jynxzi,False
fissure_dota_en,https://www.twitch.tv/fissure_dota_en,76964430,5790,28724,13292,,13,133317,5940,0,0,True,False,False,English,0,Partner,4953765,870,12444,5693,990,0,,55772675,fissure_dota_en,False
loud_coringa,https://www.twitch.tv/loud_coringa,74513535,3405,118984,21883,,14,6349804,28060,0,0,True,False,False,Portuguese,0,Partner,72324420,2520,122751,28700,14892,0,,32760796,loud_coringa,False
eliasn97,https://www.twitch.tv/eliasn97,69615120,2025,81701,34377,,15,2098929,1242,0,0,True,False,False,German,0,Partner,81825690,2685,74399,30475,1515,0,,19392705,eliasn97,False
fps_shaka,https://www.twitch.tv/fps_shaka,63082095,3030,34439,20819,,16,1549616,2391,0,0,True,False,False,Japanese,0,Partner,45935265,3300,31607,13919,1590,0,,232516,fps_shaka,False
Lacy,https://www.twitch.tv/lacy,57660720,2865,66365,20125,,17,1221520,13667,0,0,True,False,False,English,0,Partner,41466585,2370,35684,17496,2196,0,,29240813,lacy,False
Tumblurr,https://www.twitch.tv/tumblurr,56322285,1635,116476,34447,,18,1869230,2466,0,0,True,False,False,Italian,0,Partner,65628765,1980,121623,33145,3540,0,,155285,tumblurr,False
summit1g,https://www.twitch.tv/summit1g,55109370,4380,21692,12582,,19,6317431,-202,0,0,True,False,False,English,0,Partner,60996570,5325,19133,11454,518,0,,10840,summit1g,False
RocketLeague,https://www.twitch.tv/rocketleague,53884740,1680,63468,32074,,20,4358858,14523,0,0,True,False,False,English,0,Partner,1165605,345,4146,3378,33,0,,2311196,rocketleague,False
buster,https://www.twitch.tv/buster,52940040,1455,63720,36384,,21,4409613,18919,0,0,True,False,False,Russian,0,Partner,40702650,1215,68976,33500,16717,0,,4762906,buster,False
relog_pari_cs_ru,https://www.twitch.tv/relog_pari_cs_ru,52301925,2250,48875,23245,,22,338878,9091,0,0,True,False,False,Russian,0,Partner,41221665,2940,57413,14020,8120,0,,56782054,relog_pari_cs_ru,False
nasdas_off,https://www.twitch.tv/nasdas_off,44990745,765,104171,58811,,23,919518,52484,0,0,True,False,False,French,0,Partner,67260330,1080,142426,62278,71965,0,,50717472,nasdas_off,False
stableronaldo,https://www.twitch.tv/stableronaldo,43632495,2085,32643,20926,,24,3737531,9368,0,0,True,False,False,English,0,Partner,43354005,2265,28047,19140,7181,0,,21527939,stableronaldo,False
zarbex,https://www.twitch.tv/zarbex,42284625,2985,21126,14165,,25,862553,10048,0,0,True,False,False,German,0,Partner,27368220,2160,22201,12670,7157,0,,20268522,zarbex,False
StRoGo,https://www.twitch.tv/strogo,41401785,2220,51987,18649,,26,1322857,11279,0,0,True,False,False,Russian,0,Partner,30272325,1620,56535,18686,9594,0,,20178312,strogo,False
