displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly,email,discord,twitter,youtube
BLASTPremier,https://www.twitch.tv/blastpremier,156028155,2730,111522,57153,,1,2086580,19691,0,0,True,False,False,English,0,Partner,91724895,2220,108503,41317,15914,0,,12560979,blastpremier,False,,,,
加藤純一うん〇ちゃん (kato_junichi0817),https://www.twitch.tv/kato_junichi0817,145145010,6030,64545,24070,,2,1057579,2367,0,0,True,False,False,Japanese,0,Partner,144445395,5310,58625,27202,2714,0,,30004033,kato_junichi0817,False,,,,
betboom_ru,https://www.twitch.tv/betboom_ru,139241850,5640,76775,24688,,3,474232,13360,0,0,True,False,False,Russian,0,Partner,0,0,0,0,0,0,,6829262,betboom_ru,False,,,,
zackrawrr,https://www.twitch.tv/zackrawrr,123397440,2865,57533,43070,,4,2049815,3346,0,0,True,False,False,English,0,Partner,138741045,3030,71606,45789,3215,0,,30500360,zackrawrr,False,,,,
Caedrel,https://www.twitch.tv/caedrel,118626690,2025,287937,58581,,5,1210994,16100,0,0,True,False,False,English,0,Partner,194318670,2850,217635,68181,18543,0,,2053059,caedrel,False,,,,
HasanAbi,https://www.twitch.tv/hasanabi,95751240,3165,41345,30253,,6,2820302,3847,0,0,True,False,False,English,0,Partner,93241050,2955,53154,31553,2271,0,,14441748,hasanabi,False,,,,
caseoh_,https://www.twitch.tv/caseoh_,87747960,1575,76912,55712,,7,6840321,28013,0,0,True,False,False,English,0,Partner,79370595,1545,75585,51372,34051,0,,18933073,caseoh_,False,,,,
PontiacMadeDDG,https://www.twitch.tv/pontiacmadeddg,86781045,6315,28068,13742,,8,642881,61545,0,0,True,False,False,English,0,Partner,23191875,2805,21628,8268,25268,0,,7653634,pontiacmadeddg,False,,,,
Papaplatte,https://www.twitch.tv/papaplatte,85091895,2490,55493,34173,,9,2804146,6998,0,0,True,False,False,German,0,Partner,42532725,1335,55957,31859,5764,0,,101547,papaplatte,False,,,,
Jynxzi,https://www.twitch.tv/jynxzi,82971465,3285,36107,25257,,10,7129788,22903,0,0,True,False,False,English,0,Partner,106843080,3720,42809,28721,38907,0,,21104643,jynxzi,False,,,,
ohnePixel,https://www.twitch.tv/ohnepixel,81982500,2790,60291,29384,,11,1701281,16482,0,0,True,False,False,English,0,Partner,66423510,2760,52127,24066,16078,0,,27167095,ohnepixel,False,,,,
eliasn97,https://www.twitch.tv/eliasn97,70023855,2040,81701,34325,,12,2098929,1078,0,0,True,False,False,German,0,Partner,81416010,2670,74399,30492,1372,0,,19392705,eliasn97,False,,,,
fissure_dota_en,https://www.twitch.tv/fissure_dota_en,67005000,5760,28702,11632,,13,133317,6031,0,0,True,False,False,English,0,Partner,0,0,0,0,0,0,,55772675,fissure_dota_en,False,,,,
Recrent,https://www.twitch.tv/recrent,63796035,2805,108941,22743,,14,1638853,31316,0,0,True,False,False,Russian,0,Partner,51871995,3765,34584,13777,12540,0,,757419,recrent,False,,,,
loud_coringa,https://www.twitch.tv/loud_coringa,63567735,3225,118984,19710,,15,6349804,35227,0,0,True,False,False,Portuguese,0,Partner,71329080,2460,122751,28995,13934,0,,32760796,loud_coringa,False,,,,
Tumblurr,https://www.twitch.tv/tumblurr,58526835,1770,116476,33066,,16,1869230,2727,0,0,True,False,False,Italian,0,Partner,63424215,1845,121623,34376,3292,0,,155285,tumblurr,False,,,,
nasdas_off,https://www.twitch.tv/nasdas_off,58022535,960,110436,60440,,17,919518,61815,0,0,True,False,False,French,0,Partner,64026615,1140,142426,56163,73700,0,,50717472,nasdas_off,False,,,,
summit1g,https://www.twitch.tv/summit1g,57889605,4500,21692,12864,,18,6317431,50,0,0,True,False,False,English,0,Partner,61479990,5220,19133,11777,743,0,,10840,summit1g,False,,,,
fps_shaka,https://www.twitch.tv/fps_shaka,57468435,2925,31607,19647,,19,1549616,1697,0,0,True,False,False,Japanese,0,Partner,55803210,3615,36180,15436,1905,0,,232516,fps_shaka,False,,,,
Fanum,https://www.twitch.tv/fanum,55530750,4350,18300,12765,,20,2990988,22253,0,0,True,False,False,English,0,Partner,11166090,870,20424,12834,11332,0,,8432753,fanum,False,,,,
Lacy,https://www.twitch.tv/lacy,55093470,2835,66365,19433,,21,1221520,14128,0,0,True,False,False,English,0,Partner,42698475,2400,35684,17791,1389,0,,29240813,lacy,False,,,,
relog_pari_cs_ru,https://www.twitch.tv/relog_pari_cs_ru,53439435,2625,45467,20357,,22,338878,9024,0,0,True,False,False,Russian,0,Partner,28582065,2100,57413,13610,6159,0,,56782054,relog_pari_cs_ru,False,,,,
buster,https://www.twitch.tv/buster,52752675,1560,63720,33815,,23,4409613,19532,0,0,True,False,False,Russian,0,Partner,36691560,1020,68976,35972,15444,0,,4762906,buster,False,,,,
ibai,https://www.twitch.tv/ibai,47494950,3030,45678,15674,,24,17303729,353,0,0,True,False,False,Spanish,0,Partner,133318290,6195,58277,21520,16118,0,,3196211,ibai,False,,,,
plaqueboymax,https://www.twitch.tv/plaqueboymax,47472660,1650,75066,28771,,25,1803438,18079,0,0,True,False,False,English,0,Partner,68567730,2115,65611,32419,12712,0,,38773224,plaqueboymax,False,,,,
stableronaldo,https://www.twitch.tv/stableronaldo,45501855,2265,32643,20089,,26,3737531,9897,0,0,True,False,False,English,0,Partner,38224320,2010,28047,19017,7102,0,,21527939,stableronaldo,False,,,,
shroud,https://www.twitch.tv/shroud,42223905,3855,20073,10953,,27,11114529,217,0,0,True,False,False,English,0,Partner,54334215,3630,32597,14968,3826,0,,614751,shroud,False,,,,
funnymike,https://www.twitch.tv/funnymike,40771800,8160,12695,4996,,28,225789,47825,0,0,True,False,False,English,0,Partner,24948645,6435,7511,3877,47748,0,,11251220,funnymike,False,,,,
zarbex,https://www.twitch.tv/zarbex,39324090,2745,21126,14325,,29,862553,8072,0,0,True,False,False,German,0,Partner,26472390,2070,22201,12788,5701,0,,20268522,zarbex,False,,,,
Rubius,https://www.twitch.tv/rubius,39210630,1515,62195,25881,,30,15655098,8101,0,0,True,False,False,Spanish,0,Partner,32211240,1605,41905,20069,7068,0,,1002201,rubius,False,,,,
Elajjaz,https://www.twitch.tv/elajjaz,38540625,3645,16480,10573,,31,515240,982,0,0,True,False,False,English,0,Partner,34132935,2985,16014,11434,539,0,,4979,elajjaz,False,,,,
StRoGo,https://www.twitch.tv/strogo,38366415,1965,51987,19524,,32,1322857,10663,0,0,True,False,False,Russian,0,Partner,28652625,1530,56535,18727,8765,0,,20178312,strogo,False,,,,
Gaules,https://www.twitch.tv/gaules,38353365,9945,52749,3856,,33,4261341,184,0,0,True,False,True,Portuguese,0,Partner,50339640,10080,42167,4994,1477,0,,13076616,gaules,False,,,,
xQc,https://www.twitch.tv/xqc,35863860,1545,37810,23212,,34,12041553,-423,0,0,True,False,False,English,0,Partner,33848490,1485,35969,22793,489,0,,78121,xqc,False,,,,
stylishnoob4,https://www.twitch.tv/stylishnoob4,34978170,2835,18757,12337,,35,1108252,2389,0,0,True,False,False,Japanese,0,Partner,37523940,2970,22383,12634,594,0,,58643,stylishnoob4,False,,,,
Clix,https://www.twitch.tv/clix,34201800,2670,24528,12809,,36,8164926,17790,0,0,True,False,False,English,0,Partner,36090660,2115,80344,17064,23712,0,,16572872,clix,False,,,,
mira,https://www.twitch.tv/mira,34129920,10080,3882,3385,,37,740921,308,0,0,True,False,False,English,0,Partner,29765520,10080,4913,2952,703,0,,18501,mira,False,,,,
RocketLeague,https://www.twitch.tv/rocketleague,33616470,1215,46666,27667,,38,4358858,8816,0,0,True,False,False,English,0,Partner,1165605,345,4146,3378,33,0,,2311196,rocketleague,False,,,,
mokrivskyi,https://www.twitch.tv/mokrivskyi,32256195,1425,49511,22635,,39,981526,6618,0,0,False,False,False,Russian,0,Community,17946390,900,53478,19940,3918,0,,11035668,mokrivskyi,False,,,,
alanzoka,https://www.twitch.tv/alanzoka,31603770,2340,26112,13505,,40,7601555,6307,0,0,True,False,False,Portuguese,0,Partner,29270295,2250,21228,13009,7413,0,,241979,alanzoka,False,,,,
JLTomy,https://www.twitch.tv/jltomy,31563555,2730,19207,11561,,41,1324801,713,0,0,True,False,False,French,0,Partner,13449750,1170,17595,11495,769,0,,11016752,jltomy,False,,,,
バトラ (batora324),https://www.twitch.tv/batora324,30920670,3570,13424,8661,,42,137399,2046,0,0,True,False,False,Japanese,0,Partner,14942280,2445,11019,6111,342,0,,5331342,batora324,False,,,,
LIRIK,https://www.twitch.tv/lirik,30793350,2415,24594,12750,,43,2981337,-110,0,0,True,False,False,English,0,Partner,38673795,2430,25564,15915,215,0,,62277,lirik,False,,,,
Mizkif,https://www.twitch.tv/mizkif,28791180,1650,25726,17449,,44,2131700,826,0,0,True,False,False,English,0,Partner,7904145,435,32435,18170,-131,0,,2385215,mizkif,False,,,,
tarik,https://www.twitch.tv/tarik,28473390,1155,46939,24652,,45,3258496,1960,0,0,True,False,False,English,0,Partner,9762420,660,34181,14791,-283,0,,178158,tarik,False,,,,
Arteezy,https://www.twitch.tv/arteezy,28343535,3585,11829,7906,,46,831708,4395,0,0,True,False,True,English,0,Partner,27695550,3240,12039,8548,944,0,,753328,arteezy,False,,,,
Quin69,https://www.twitch.tv/quin69,28095540,2985,21664,9412,,47,916327,730,0,0,True,False,False,English,0,Partner,22628370,2910,12035,7776,-1001,0,,4913,quin69,False,,,,
Bijusan,https://www.twitch.tv/bijusan,27876555,3720,22271,7493,,48,74143,3299,0,0,True,False,False,Japanese,0,Partner,16909035,3165,17286,5342,3000,0,,11151788,bijusan,False,,,,
Lazvell,https://www.twitch.tv/lazvell,27781140,3450,44442,8052,,49,457900,1781,0,0,True,False,False,Japanese,0,Partner,10318680,3510,17018,2939,1210,0,,7412503,lazvell,False,,,,
sodapoppin,https://www.twitch.tv/sodapoppin,27737625,1965,42908,14115,,50,8961443,873,0,0,True,False,True,English,0,Partner,27757125,2625,18559,10574,-886,0,,16635,sodapoppin,False,,,,
GRONKH,https://www.twitch.tv/gronkh,27634890,1485,24520,18609,,51,1741382,830,0,0,True,False,True,German,0,Partner,36891045,2295,23257,16074,1851,0,,99482,gronkh,False,,,,
Thebausffs,https://www.twitch.tv/thebausffs,27510660,1440,38555,19104,,52,1467753,6477,0,0,True,False,False,English,0,Partner,43967610,2550,36865,17242,7799,0,,12089485,thebausffs,False,,,,
Pikabooirl,https://www.twitch.tv/pikabooirl,27154755,3105,25872,8745,,53,583136,2040,0,0,True,False,False,English,0,Partner,26808210,3750,14458,7148,946,0,,82312,pikabooirl,False,,,,
Gorgc,https://www.twitch.tv/gorgc,27110580,3300,15020,8215,,54,754777,1526,0,0,True,False,False,English,0,Partner,23248440,2970,15053,7827,324,0,,3691316,gorgc,False,,,,
Mixwell,https://www.twitch.tv/mixwell,26953290,2205,23867,12223,,55,1212876,223,0,0,True,False,False,Spanish,0,Partner,6315105,1320,13602,4784,143,0,,4370,mixwell,False,,,,
MOONMOON,https://www.twitch.tv/moonmoon,26528220,2160,17180,12281,,56,1181790,-136,0,0,True,False,True,English,0,Partner,33637650,2700,18777,12458,61,0,,5412441,moonmoon,False,,,,
AussieAntics,https://www.twitch.tv/aussieantics,26159445,4755,12928,5501,,57,1414389,2931,0,0,True,False,False,English,0,Partner,27057990,3585,25210,7547,5191,0,,15792962,aussieantics,False,,,,
Squeezie,https://www.twitch.tv/squeezie,26045220,825,64032,31569,,58,5290295,6537,0,0,True,False,False,French,0,Partner,23097615,1230,33956,18778,6507,0,,5602855,squeezie,False,,,,
CohhCarnage,https://www.twitch.tv/cohhcarnage,25903650,2745,18839,9436,,59,1632861,1432,0,0,True,False,False,English,0,Partner,19920750,2670,15616,7460,455,0,,5115,cohhcarnage,False,,,,
QuickyBaby,https://www.twitch.tv/quickybaby,25654860,4185,14162,6130,,60,643938,336,0,0,True,False,False,English,0,Partner,24191790,3675,14679,6582,283,0,,99379,quickybaby,False,,,,
yourragegaming,https://www.twitch.tv/yourragegaming,25407555,1335,31298,19031,,61,1629351,3235,0,0,True,False,False,English,0,Partner,45148875,2100,33366,21499,6291,0,,20828103,yourragegaming,False,,,,
